movie,year,timeMin,imdb,metascore,votes,us_grossMillions
A Few Good Men,1992,138,7.7,62,229911,141.34
Blood Diamond,2006,143,8,64,490423,57.37
The Little Mermaid,1989,83,7.6,88,232168,111.54
Despicable Me,2010,95,7.6,72,491930,251.51
Star Trek Into Darkness,2013,132,7.7,72,458870,228.78
Seven Samurai,1954,207,8.6,98,308597,0.27
3 Idiots,2009,170,8.4,67,333154,6.53
Grave of the Fireflies,1988,89,8.5,94,226236,
What's Eating Gilbert Grape,1993,118,7.8,73,210631,9.17
WALL·E,2008,98,8.4,95,976435,223.81
The Last of the Mohicans,1992,112,7.7,76,145979,75.51
Gravity,2013,91,7.7,96,756731,274.09
The Lives of Others,2006,137,8.4,89,350310,11.29
Downfall,2004,156,8.2,82,325190,5.51
Chinatown,1974,130,8.2,92,287454,29.2
The Sandlot,1993,101,7.8,55,77415,32.42
Hunt for the Wilderpeople,2016,101,7.9,81,105000,5.2
Who Framed Roger Rabbit,1988,104,7.7,83,178764,156.45
Mystic River,2003,138,7.9,84,411975,90.14
Blazing Saddles,1974,93,7.7,73,123700,119.5
Goldfinger,1964,110,7.7,87,169056,51.08
A Bronx Tale,1993,121,7.8,80,125300,17.27
Wreck-It Ralph,2012,101,7.7,72,372113,189.42
Ip Man,2008,106,8,59,208297,
The Bourne Supremacy,2004,108,7.7,73,427707,176.24
Gran Torino,2008,116,8.1,72,708146,148.1
Groundhog Day,1993,101,8,72,569947,70.91
Moon,2009,97,7.9,67,330224,5.01
The Game,1997,129,7.8,61,337280,48.32
The Butterfly Effect,2004,113,7.6,30,444832,57.94
Black Hawk Down,2001,144,7.7,74,358622,108.64
The Crow,1994,102,7.6,71,163831,50.69
North by Northwest,1959,136,8.3,98,292217,13.28
Awakenings,1990,121,7.8,74,121107,52.1
Do the Right Thing,1989,120,7.9,93,86441,27.55
I Saw the Devil,2010,144,7.8,67,106423,0.13
The Fault in Our Stars,2014,126,7.7,69,337621,124.87
The Pursuit of Happyness,2006,117,8,64,438230,163.57
"O Brother, Where Art Thou?",2000,107,7.7,69,279916,45.51
The Birds,1963,119,7.7,90,167658,11.4
The Graduate,1967,106,8,83,250210,104.95
